favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
77433,Twitter for iPhone,“President Trump is facing a process which is unprecedented for its unfairness.” Sam Dewey,,False,Mon Nov 25 12:25:16 +0000 2019,16283,1198940713955844097
62379,Twitter Media Studio,SHIFTY SCHIFF DUPED BY RUSSIAN PRANKSTERS! https://t.co/CpIL0b5FLW,,False,Sat Oct 05 04:11:38 +0000 2019,21111,1180334708175130624
52031,Twitter for iPhone,".....this thinking years ago. Instead, it was always held together with very weak bandaids, &amp; in an artificial manner. There is good will on both sides &amp; a really good chance for success. The U.S. has secured the Oil, &amp; the ISIS Fighters are double secured by Kurds &amp; Turkey....",realDonaldTrump,False,Fri Oct 18 15:42:37 +0000 2019,11822,1185219642668867585
140775,Twitter for iPhone,To Tim: The Button on the IPhone was FAR better than the Swipe!,,False,Fri Oct 25 22:39:16 +0000 2019,31119,1187861209942495234
44298,Twitter for iPhone,"Governor @MattBevin has done a wonderful job for the people of Kentucky! He continues to protect your very important Second Amendment. Matt is Strong on Crime and the Border, he Loves our Great Vets and Military. Matt has my Complete and Total Endorsement, and always has!",,False,Tue Oct 15 15:30:39 +0000 2019,11537,1184129465070297090
85674,Twitter for iPhone,The same people who got us into the Middle East mess are the people who most want to stay there!,,False,Mon Oct 14 11:40:42 +0000 2019,20399,1183709210602823680
113350,Twitter for iPhone,AOC is a Wack Job! https://t.co/LU3hIeek0c,,False,Fri Oct 04 01:27:52 +0000 2019,26343,1179931107111907333
109609,Twitter for iPhone,A Federal Judge is allowing the Nick Sandman libel suit to move forward against the thoroughly disgusting Washington Post (which is no longer available at the White House!). He could now have a good chance of winning. Go Nick!,,False,Wed Oct 30 12:26:21 +0000 2019,26289,1189518901991923712
67441,Twitter for iPhone,It is ONLY about this! https://t.co/ZB5xPDKs4b,,False,Sat Oct 19 19:23:00 +0000 2019,21745,1185637489471565824
72669,Twitter for iPhone,"Great new book by wonderful and very street smart author Dan Bongino, EXONERATED, THE FAILED TAKEDOWN OF PRESIDENT DONALD TRUMP BY THE SWAMP. Dan hits all of the crooked points of the greatest Witch Hunt in political history. Nevertheless, the Scam continues!",,False,Mon Oct 21 12:25:26 +0000 2019,17702,1186257181689237504
90028,Twitter for iPhone,The Navy will NOT be taking away Warfighter and Navy Seal Eddie Gallagher’s Trident Pin. This case was handled very badly from the beginning. Get back to business!,,False,Thu Nov 21 13:30:21 +0000 2019,23806,1197507542726909952
39567,Twitter Media Studio,"""The Truth About Impeachment""
@SteveHiltonx @NextRevFNC https://t.co/3Pe2zClfUK",,False,Mon Oct 07 16:48:06 +0000 2019,13872,1181249853801877508
43512,Twitter for iPhone,"“To the Democrats, Impeachment is partisan politics dressed up as principle.” @SteveHiltonx @FoxNews",,False,Mon Oct 21 01:48:35 +0000 2019,10441,1186096913520693248
55939,Twitter for iPhone,"“There are no felonies, there are no Impeachable offenses. The Constitution’s very clear that you need bribery, treason, or other high crimes and misdemeanors. You can’t be impeached for the conduct that’s been alleged in this case.” @AlanDersh Dershowitz. @seanhannity  A Scam!",,False,Tue Oct 08 03:52:37 +0000 2019,15322,1181417086851125248
150239,Twitter for iPhone,"As President I have an obligation to end CORRUPTION, even if that means requesting the help of a foreign country or countries. It is done all the time. This has NOTHING to do with politics or a political campaign against the Bidens. This does have to do with their corruption!",,False,Fri Oct 04 12:16:47 +0000 2019,38358,1180094411323117568
45761,Twitter Media Studio,"""NEW EXTREME DEMS NOW RUNNING THE PARTY!"" https://t.co/nEAvcUGpZZ",,False,Sat Oct 05 04:35:28 +0000 2019,13931,1180340705308413952
48249,Twitter for iPhone,"“Bob Mueller was pursuing the FBI Director job when he met with President Trump in 2017, Administration officials say.” @FoxNews  Bret Baier and Jake Gibson @seanhannity This is true even though Mueller denied it!",,False,Wed Oct 09 02:15:19 +0000 2019,12982,1181754987141124098
91895,Twitter for iPhone,"Crooked Hillary Clinton just called the respected environmentalist and Green Party candidate, Jill Stein, a “Russian Asset.” They need a Green Party more than ever after looking at the Democrats disastrous environmental program!",,False,Sat Oct 19 19:47:51 +0000 2019,20797,1185643744932106240
49909,Twitter for iPhone,".....good health, at my request, Pastor Brunson, who had many years of a long prison term remaining. Also remember, and importantly, that Turkey is an important member in good standing of NATO. He is coming to the U.S. as my guest on November 13th. #ENDENDLESSWARS",realDonaldTrump,False,Tue Oct 08 12:30:11 +0000 2019,11495,1181547333990916097
84509,Twitter Media Studio,https://t.co/4zENOQPQ11,,False,Mon Oct 07 21:54:13 +0000 2019,26061,1181326889480282112
73065,Twitter for iPhone,"Wow, Just Breaking: “The (big deal) Whistleblower had a ‘PROFESSIONAL TIE’ to 2020 Democratic Candidate.” Washington Examiner, @ByronYork  In other words, was working with someone who was potentially running against me. Why wasn’t this reported by the ICIG? A Witch Hunt Scam!",,False,Wed Oct 09 02:39:23 +0000 2019,22463,1181761045486080002
122737,Twitter for iPhone,95% Approval Rating in the Republican Party. Thank you!,,False,Tue Oct 22 11:57:09 +0000 2019,22264,1186612453368651777
94255,Twitter for iPhone,"This Scam going on right now by the Democrats against the Republican Party, and me, was all about a perfect phone call I had with the Ukrainian President. He’s already stated, NO PRESSURE! Where is the Whistleblower, or the 2nd Whistleblower, or the “informant?” All gone.....",,False,Sun Oct 20 21:45:17 +0000 2019,23312,1186035684525727744
56938,Twitter for iPhone,The Do Nothing Democrats have gone Crazy. Very bad for USA! https://t.co/3zApgOOA7I,,False,Thu Oct 31 04:17:08 +0000 2019,14296,1189758177824452608
42055,Twitter for iPhone,What a disgraceful legal system for this guy to still be around after all of these years. A vicious killer who destroyed so many great people &amp; families! https://t.co/GTHdZ7BN6B,,False,Fri Oct 11 15:28:29 +0000 2019,11725,1182679369174716423
65542,Twitter for iPhone,"Congratulations to the Great State of Louisiana. A big night. You will soon have a new and wonderful Governor, @EddieRispone. Your Taxes and Car Insurance Payments will go DOWN!",,False,Sun Oct 13 05:11:02 +0000 2019,15085,1183248760303960064
29568,Twitter for iPhone,The Do Nothing Democrats. Thanks Vicky! https://t.co/WEZgrvobs3,,False,Fri Oct 11 15:37:58 +0000 2019,8305,1182681755679121408
87521,Twitter for iPhone,"When the Military rips down an old &amp; badly broken Border Wall in an important location, &amp; replaces it with a brand new 30 ft. high Steel &amp; Concrete Wall, Nancy Pelosi says we are not building a Wall. Wrong, and it is going up fast. Brandon Judd just gave us great marks! @FoxNews",,False,Tue Nov 26 11:53:16 +0000 2019,21816,1199295050389307392
90846,Twitter for iPhone,"Nancy Pelosi, Adam Schiff, AOC and the rest of the Democrats are not getting important legislation done, hence, the Do Nothing Democrats. USMCA, National Defense Authorization Act, Gun Safety, Prescription Drug Prices, &amp; Infrastructure are dead in the water because of the Dems!",,False,Sun Nov 24 12:30:58 +0000 2019,27415,1198579763717246976
70578,Twitter for iPhone,Schiff and the Do Nothing Dems have lost all credibility...but the corrupt Media is working hard to keep them in the game! https://t.co/VufsDqYUVu,,False,Sat Oct 05 23:37:36 +0000 2019,20477,1180628130941345798
83404,Twitter for iPhone,"“Project Veritas-Obtained Undercover Videos Highlight Jeff Zucker’s (@CNN) Campaign To Destroy Trump. Videos Reveal @CNN’s BIAS!” @TuckerCarlson @FoxNews Does this sound like a good, or even great, lawsuit?",,False,Tue Oct 15 00:51:26 +0000 2019,27567,1183908206088728576
78848,Twitter for iPhone,“What is happening to President Trump with Impeachment is a Constitutional Travesty.” @GrahamLedger  The likes of which we have never seen before. It is Adam Schiff and Nancy Pelosi who should be impeached for fraud!,,False,Wed Oct 16 11:14:11 +0000 2019,19853,1184427310935609345
34501,Twitter for iPhone,"Just another FAKE SUPPRESSION POLL, this time from @FoxNews, of course! https://t.co/x8lYVE7QCo",,False,Sat Oct 19 19:16:00 +0000 2019,9639,1185635727645839363
63191,Twitter for iPhone,"...A majority do not want him Impeached and removed from office. 94% of the people in these battleground states who voted for President Trump want him to continue as President. That’s squarely in his corner.” @SteveDoocy “That’s a revealing poll, don’t you think that matters?”...",,False,Tue Oct 22 11:37:03 +0000 2019,14629,1186607396090724353
133322,Twitter for iPhone,Where’s the Whistleblower?,,False,Sat Oct 26 14:43:01 +0000 2019,28329,1188103745525243904
38225,Twitter for iPhone,Thank you @GLFOP! https://t.co/IpoUY7QPM2,,False,Wed Oct 30 20:21:54 +0000 2019,11004,1189638577866657794
77642,Twitter for iPhone,"The D.C. Wolves and Fake News Media are reading far too much into people being forced by Courts to testify before Congress. I am fighting for future Presidents and the Office of the President. Other than that, I would actually like people to testify. Don McGahn’s respected....",,False,Tue Nov 26 15:43:19 +0000 2019,20288,1199352946187800578
47233,Twitter for iPhone,...House Republicans are showing real LEADERSHIP and prepared to enact bipartisan solutions for drug prices. Do Nothing Democrats are playing partisan politics with YOUR drug prices! We are READY to work together if they actually want to get something done!,realDonaldTrump,False,Fri Nov 22 19:04:35 +0000 2019,12656,1197954044393861120
48739,Twitter for iPhone,"“To his credit the Europeans didn't step up to deal with this ISIS problem – it’s a lot of the reason why we are in this situation today. Now, Angela Merkel of Germany is finally stepping up and telling Turkey to back off....",,False,Mon Oct 14 19:06:17 +0000 2019,11495,1183821342455586818
82099,Twitter for iPhone,"“DOW, NASDAQ, S&amp;P 500 CLOSE AT RECORD HIGHS” https://t.co/q8IuuuUGjb",,False,Mon Nov 25 22:25:41 +0000 2019,21408,1199091814340472832
572172,Twitter for iPhone,"We have declassified a picture of the wonderful dog (name not declassified) that did such a GREAT JOB in capturing and killing the Leader of ISIS, Abu Bakr al-Baghdadi! https://t.co/PDMx9nZWvw",,False,Mon Oct 28 20:02:56 +0000 2019,130331,1188909031403900928
163931,Twitter for iPhone,"This is a great day for civilization. I am proud of the United States for sticking by me in following a necessary, but somewhat unconventional, path. People have been trying to make this “Deal” for many years. Millions of lives will be saved. Congratulations to ALL!",,False,Thu Oct 17 18:13:15 +0000 2019,36460,1184895160871571456
43355,Twitter Media Studio,https://t.co/oSn6amjZo4,,False,Mon Oct 21 03:54:07 +0000 2019,13774,1186128505316229121
74614,Twitter for iPhone,"....”I WANT NOTHING! I WANT NOTHING! I WANT NO QUID PRO QUO! TELL PRESIDENT ZELENSKY TO DO THE RIGHT THING!” Later, Ambassador Sondland said that I told him, “Good, go tell the truth!” This Witch Hunt must end NOW. So bad for our Country!",realDonaldTrump,False,Wed Nov 20 18:57:07 +0000 2019,19745,1197227388683206656
113626,Twitter for iPhone,"Former Democrat Senator Harry Reid just stated that Donald Trump is very smart, much more popular than people think, is underestimated, and will be hard to beat in the 2020 Election. Thank you Harry, I agree!",,False,Mon Oct 14 10:54:24 +0000 2019,23454,1183697555907104768
41271,Twitter for iPhone,The Republican Party has never had such support! https://t.co/P6GHgBv3v9,,False,Thu Oct 03 11:33:00 +0000 2019,9809,1179721004291170304
62733,Twitter for iPhone,"Pelosi and Impeachment - There have already been 3 Votes, and they’ve all failed miserably. Here’s why there may not be a fourth - 137 Democrats voted against on the last vote.” @JasonChaffetz  @seanhannity  Many of those voting in favor will be beaten in 2020!",,False,Sat Oct 19 02:16:38 +0000 2019,17085,1185379196203421696
74535,Twitter for iPhone,"....the Whistleblower, and also the person who gave all of the false information to him. This is simply about a phone conversation that could not have been nicer, warmer, or better. No pressure at all (as confirmed by  Ukrainian Pres.). It is just another Democrat Hoax!",realDonaldTrump,False,Tue Oct 01 13:19:24 +0000 2019,16579,1179023004241727489
77925,Twitter for iPhone,“The President never told me to withhold any money until the Ukrainians did anything related to the server. The only reason we were holding the money was because of concern about LACK OF SUPPORT FROM OTHER NATIONS and CONCERNS OVER CORRUPTION.” Yesterday’s Mick Mulvaney statement,,False,Sat Oct 19 23:28:01 +0000 2019,20028,1185699151708901376
87983,Twitter for iPhone,"Not only are the Do Nothing Democrats interfering in the 2020 Election, but they are continuing to interfere in the 2016 Election. They must be stopped!",,False,Sat Oct 05 18:33:51 +0000 2019,21201,1180551689818050562
55184,Twitter for iPhone,".@marklevinshow on @FoxNews is doing a big show tonight on the Democrat’s Impeachment Scam. 10:00 P.M. No guests, just Mark. He is angry (like so many others!). At 9:00 P.M. on @FoxNews, Steve Hilton is looking into the Crooked Bidens. Where’s Hunter?",,False,Sun Oct 13 23:09:01 +0000 2019,15152,1183520040647380993
83801,Twitter for iPhone,"“Now is the time for Republicans to stand together and defend the leader of their party against these smears. It would be one thing if there were any indication of an underlying crime, but there is not-not in the transcripts, and not in the secret witness testimony that.....",,False,Thu Oct 31 12:20:12 +0000 2019,21439,1189879743895810048
122673,Twitter for iPhone,"I think that Crooked Hillary Clinton should enter the race to try and steal it away from Uber Left Elizabeth Warren. Only one condition. The Crooked one must explain all of her high crimes and misdemeanors including how &amp; why she deleted 33,000 Emails AFTER getting “C” Subpoena!",,False,Tue Oct 08 14:06:29 +0000 2019,32122,1181571571787403265
37946,Twitter for iPhone,....Sondland said Trump told him. None of this will move the needle for anyone. And now Dems in Swing Districts head home for Thanksgiving to hear from voters. Pelosi &amp; Co. are putting on a show to appease the Democratic base instead of doing the work ALL Americans need done.”,realDonaldTrump,False,Sat Nov 23 20:17:51 +0000 2019,9752,1198334870738604033
73629,Twitter for iPhone,"“Not a single American citizen has been charged with anything related to Russian Collusion, not one person.” @TuckerCarlson  It was all an illegal Witch Hunt!",,False,Sat Oct 26 11:23:09 +0000 2019,18088,1188053446215323650
52851,Twitter for iPhone,https://t.co/N3FaZ5UVI0,,False,Sat Oct 05 03:28:07 +0000 2019,16702,1180323756423692288
38705,Twitter for iPhone,"Correct, a total scam! https://t.co/klpmeAwm03",,False,Tue Oct 29 11:44:36 +0000 2019,9580,1189146007310913536
169043,Twitter for iPhone,https://t.co/7esnNSoa5D,,False,Sun Oct 27 16:25:12 +0000 2019,36039,1188491847271931911
64778,Twitter for iPhone,"Governor @MattBevin has done a wonderful job for the people of Kentucky! He continues to protect your very important Second Amendment. Matt is Strong on Crime and the Border, he Loves our Great Vets and Military....",,False,Sat Oct 26 20:26:34 +0000 2019,15383,1188190202004754432
51388,Twitter for iPhone,"....He is also my friend! At the same time, I am pleased to nominate Deputy Secretary Dan Brouillette to be the new Secretary of Energy. Dan’s experience in the sector is unparalleled. A total professional, I have no doubt that Dan will do a great job!",realDonaldTrump,False,Fri Oct 18 19:34:21 +0000 2019,10576,1185277957436248065
57732,Twitter for iPhone,https://t.co/zDEOQfpvk1 https://t.co/Bxpt7nQTjG,,False,Sat Oct 26 02:23:14 +0000 2019,15313,1187917572102078465
85200,Twitter for iPhone,"The so-called Whistleblower, before knowing I was going to release the exact Transcript, stated that my call with the Ukrainian President was “crazy, frightening, and completely lacking in substance related to national security.” This is a very big Lie. Read the Transcript!",,False,Wed Oct 09 12:43:45 +0000 2019,20333,1181913136074502144
56686,Twitter for iPhone,Where is Hunter Biden? He has disappeared while the Fake News protects his Crooked daddy! https://t.co/Gtwn0nxOTt,,False,Thu Oct 10 13:12:37 +0000 2019,16716,1182282790861201408
